Date,Date_quarter,Holding,HoldingValue,NetDebt,eqy_shares_total,NAV,NAV_PS,Price,Discount,NetDebt_ffill,LastFinDate,DaysSinceFin,StaleFund
2025-04-25,2025Q2,IAM,1107470.9493770401,-1646.2969999999914,1001.881905,1109117.2463770402,1107.0339137196418,877.0,0.20779301416948126,-1646.2969999999914,2025-06-30,-66.0,False
2025-04-28,2025Q2,IAM,1092397.0392327413,-1646.2969999999914,1001.881905,1094043.3362327414,1091.9883179572362,853.46,0.21843486238336962,-1646.2969999999914,2025-06-30,-63.0,False
2025-04-29,2025Q2,IAM,1092089.40841347,-1646.2969999999914,1001.881905,1093735.70541347,1091.6812649824933,865.0,0.20764418356682934,-1646.2969999999914,2025-06-30,-62.0,False
2025-04-30,2025Q2,IAM,1076400.2366306286,-1646.2969999999914,1001.881905,1078046.5336306286,1076.021563270602,860.0,0.20075951137447234,-1646.2969999999914,2025-06-30,-61.0,False
2025-05-02,2025Q2,IAM,1075323.5287631787,-1646.2969999999914,1001.881905,1076969.8257631788,1074.9468778590015,880.0,0.18135489471561794,-1646.2969999999914,2025-06-30,-59.0,False
2025-05-05,2025Q2,IAM,1073631.559257186,-1646.2969999999914,1001.881905,1075277.856257186,1073.2580864979152,879.0,0.1809984839078057,-1646.2969999999914,2025-06-30,-56.0,False
2025-05-06,2025Q2,IAM,1061326.3264863298,-1646.2969999999914,1001.881905,1062972.6234863298,1060.9759675081964,870.0,0.18000027649704609,-1646.2969999999914,2025-06-30,-55.0,False
2025-05-07,2025Q2,IAM,1089013.100220756,-1646.2969999999914,1001.881905,1090659.397220756,1088.6107352350634,879.99,0.19163942489508523,-1646.2969999999914,2025-06-30,-54.0,False
2025-05-08,2025Q2,IAM,1079937.9910522497,-1646.2969999999914,1001.881905,1081584.2880522497,1079.552672480146,877.0,0.18762648423147787,-1646.2969999999914,2025-06-30,-53.0,False
2025-05-09,2025Q2,IAM,1082860.483835328,-1646.2969999999914,1001.881905,1084506.780835328,1082.4696757402041,876.0,0.1907394547556429,-1646.2969999999914,2025-06-30,-52.0,False
2025-05-12,2025Q2,IAM,1067478.942871758,-1646.2969999999914,1001.881905,1069125.239871758,1067.117027003056,870.0,0.18471922199259538,-1646.2969999999914,2025-06-30,-49.0,False
2025-05-13,2025Q2,IAM,1071785.7743415576,-1646.2969999999914,1001.881905,1073432.0713415577,1071.4157686494575,875.0,0.18332357465397753,-1646.2969999999914,2025-06-30,-48.0,False
2025-05-14,2025Q2,IAM,1104394.641184326,-1646.2969999999914,1001.881905,1106040.938184326,1103.963383972212,874.9,0.20749183106781166,-1646.2969999999914,2025-06-30,-47.0,False
2025-05-15,2025Q2,IAM,1101318.3329916121,-1646.2969999999914,1001.881905,1102964.6299916122,1100.8928542247822,871.13,0.20870591842162045,-1646.2969999999914,2025-06-30,-46.0,False
2025-05-16,2025Q2,IAM,1099441.7849940564,-1646.2969999999914,1001.881905,1101088.0819940565,1099.01983107885,875.0,0.20383602255742883,-1646.2969999999914,2025-06-30,-45.0,False
2025-05-19,2025Q2,IAM,1079784.175642614,-1646.2969999999914,1001.881905,1081430.472642614,1079.3991459927745,873.12,0.19110553010772469,-1646.2969999999914,2025-06-30,-42.0,False
2025-05-20,2025Q2,IAM,1090520.4912351856,-1646.2969999999914,1001.881905,1092166.7882351857,1090.1152948113038,874.0,0.1982499427720742,-1646.2969999999914,2025-06-30,-41.0,False
2025-05-22,2025Q2,IAM,1092089.40841347,-1646.2969999999914,1001.881905,1093735.70541347,1091.6812649824933,873.0,0.20031603728767866,-1646.2969999999914,2025-06-30,-39.0,False
2025-05-23,2025Q2,IAM,1084860.0841605922,-1646.2969999999914,1001.881905,1086506.3811605922,1084.4655200760335,874.0,0.1940730398337399,-1646.2969999999914,2025-06-30,-38.0,False
2025-05-26,2025Q2,IAM,1082860.483835328,-1646.2969999999914,1001.881905,1084506.780835328,1082.4696757402041,871.74,0.19467489987292708,-1646.2969999999914,2025-06-30,-35.0,False
2025-05-27,2025Q2,IAM,1089013.100220756,-1646.2969999999914,1001.881905,1090659.397220756,1088.6107352350634,874.0,0.1971418508827424,-1646.2969999999914,2025-06-30,-34.0,False
2025-05-28,2025Q2,IAM,1069939.9894259293,-1646.2969999999914,1001.881905,1071586.2864259293,1069.5734508009996,874.0,0.18285181878302548,-1646.2969999999914,2025-06-30,-33.0,False
2025-05-29,2025Q2,IAM,1064402.634679044,-1646.2969999999914,1001.881905,1066048.931679044,1064.046497255626,877.0,0.17578789812104434,-1646.2969999999914,2025-06-30,-32.0,False
2025-05-30,2025Q2,IAM,1073631.559257186,-1646.2969999999914,1001.881905,1075277.856257186,1073.2580864979152,875.0,0.18472545326431167,-1646.2969999999914,2025-06-30,-31.0,False
2025-06-02,2025Q2,IAM,1064371.871597117,-1646.2969999999914,1001.881905,1066018.168597117,1064.015791958152,870.0,0.18234296278732554,-1646.2969999999914,2025-06-30,-28.0,False
2025-06-03,2025Q2,IAM,1055173.710100902,-1646.2969999999914,1001.881905,1056820.007100902,1054.8349080133373,865.0,0.17996646353965473,-1646.2969999999914,2025-06-30,-27.0,False
2025-06-04,2025Q2,IAM,1055173.710100902,-1646.2969999999914,1001.881905,1056820.007100902,1054.8349080133373,873.84,0.17158600520172473,-1646.2969999999914,2025-06-30,-26.0,False
2025-06-05,2025Q2,IAM,1045914.0224408328,-1646.2969999999914,1001.881905,1047560.3194408328,1045.592613473574,870.0,0.16793597354349687,-1646.2969999999914,2025-06-30,-25.0,False
2025-06-06,2025Q2,IAM,1045944.78552276,-1646.2969999999914,1001.881905,1047591.08252276,1045.6233187710482,870.0,0.16796040755619668,-1646.2969999999914,2025-06-30,-24.0,False
2025-06-09,2025Q2,IAM,1009029.087210192,-1646.2969999999914,1001.881905,1010675.384210192,1008.7769618018923,843.03,0.16430486428420477,-1646.2969999999914,2025-06-30,-21.0,False
2025-06-10,2025Q2,IAM,1018873.2734268768,-1646.2969999999914,1001.881905,1020519.5704268768,1018.6026569936671,853.99,0.16160634950581176,-1646.2969999999914,2025-06-30,-20.0,False
2025-06-11,2025Q2,IAM,1030624.7707230442,-1646.2969999999914,1001.881905,1032271.0677230442,1030.3320806288484,870.0,0.155612043576273,-1646.2969999999914,2025-06-30,-19.0,False
2025-06-12,2025Q2,IAM,1030563.24455919,-1646.2969999999914,1001.881905,1032209.54155919,1030.2706700339,870.0,0.15556171275712083,-1646.2969999999914,2025-06-30,-18.0,False
2025-06-13,2025Q2,IAM,1025948.7822701191,-1646.2969999999914,1001.881905,1027595.0792701191,1025.6648754127555,865.5,0.1561571223235082,-1646.2969999999914,2025-06-30,-17.0,False
2025-06-16,2025Q2,IAM,1024410.6281737619,-1646.2969999999914,1001.881905,1026056.9251737619,1024.1296105390404,865.01,0.1553705789790507,-1646.2969999999914,2025-06-30,-14.0,False
2025-06-17,2025Q2,IAM,1021611.1877183921,-1646.2969999999914,1001.881905,1023257.4847183921,1021.3354284688794,843.02,0.17459046606872186,-1646.2969999999914,2025-06-30,-13.0,False
2025-06-18,2025Q2,IAM,1015181.70359562,-1646.2969999999914,1001.881905,1016828.00059562,1014.9180212967516,840.0,0.1723469458875707,-1646.2969999999914,2025-06-30,-12.0,False
2025-06-19,2025Q2,IAM,1015181.70359562,-1646.2969999999914,1001.881905,1016828.00059562,1014.9180212967516,820.88,0.19118590588117745,-1646.2969999999914,2025-06-30,-11.0,False
2025-06-23,2025Q2,IAM,1009029.087210192,-1646.2969999999914,1001.881905,1010675.384210192,1008.7769618018923,829.97,0.1772512344874576,-1646.2969999999914,2025-06-30,-7.0,False
2025-06-24,2025Q2,IAM,1033639.552751904,-1646.2969999999914,1001.881905,1035285.849751904,1033.3411997813296,843.14,0.184064275983169,-1646.2969999999914,2025-06-30,-6.0,False
2025-06-25,2025Q2,IAM,1033639.552751904,-1646.2969999999914,1001.881905,1035285.849751904,1033.3411997813296,848.0,0.17936108598065237,-1646.2969999999914,2025-06-30,-5.0,False
2025-06-26,2025Q2,IAM,1025025.8898123048,-1646.2969999999914,1001.881905,1026672.1868123048,1024.7437164885264,848.0,0.17247601877879415,-1646.2969999999914,2025-06-30,-4.0,False
2025-06-27,2025Q2,IAM,1045944.78552276,-1646.2969999999914,1001.881905,1047591.08252276,1045.6233187710482,857.5,0.17991499940165356,-1646.2969999999914,2025-06-30,-3.0,False
2025-06-30,2025Q2,IAM,1045944.78552276,-1646.2969999999914,1001.881905,1047591.08252276,1045.6233187710482,856.0,0.1813495504231084,-1646.2969999999914,2025-06-30,0.0,False
2017-01-03,2017Q1,INVERCAP,311166.58655562147,-267032.10019999987,149.253056,578198.6867556213,3873.9487301058775,1215.0,0.6863665255665907,-267032.10019999987,2025-06-30,-3100.0,False
2017-01-04,2017Q1,INVERCAP,308107.08167559933,-267032.10019999987,149.253056,575139.1818755992,3853.44995465687,1215.0,0.6846981239417214,-267032.10019999987,2025-06-30,-3099.0,False
2017-01-05,2017Q1,INVERCAP,310958.72210517415,-267032.10019999987,149.253056,577990.8223051741,3872.5560319862,1215.0,0.6862537326859963,-267032.10019999987,2025-06-30,-3098.0,False
2017-01-06,2017Q1,INVERCAP,306418.1830157145,-267032.10019999987,149.253056,573450.2832157144,3842.134282434488,1198.0,0.688194135879886,-267032.10019999987,2025-06-30,-3097.0,False
2017-01-09,2017Q1,INVERCAP,324249.05540565215,-267032.10019999987,149.253056,591281.155605652,3961.6016680130965,1250.0,0.6844710536920473,-267032.10019999987,2025-06-30,-3094.0,False
2017-01-10,2017Q1,INVERCAP,339026.9186796442,-267032.10019999987,149.253056,606059.0188796441,4060.6137999589378,1275.0,0.6860080611426546,-267032.10019999987,2025-06-30,-3093.0,False
2017-01-11,2017Q1,INVERCAP,340501.45712500514,-267032.10019999987,149.253056,607533.5573250051,4070.493252245402,1280.0,0.6855417953846465,-267032.10019999987,2025-06-30,-3092.0,False
2017-01-12,2017Q1,INVERCAP,343541.4747127978,-267032.10019999987,149.253056,610573.5749127977,4090.861462245689,1320.0,0.6773295766228704,-267032.10019999987,2025-06-30,-3091.0,False
2017-01-13,2017Q1,INVERCAP,341696.6777150775,-267032.10019999987,149.253056,608728.7779150773,4078.5012664335486,1295.0,0.6824814029952687,-267032.10019999987,2025-06-30,-3090.0,False
2017-01-16,2017Q1,INVERCAP,353096.7436692999,-267032.10019999987,149.253056,620128.8438692997,4154.882053934626,1310.0,0.6847082581419021,-267032.10019999987,2025-06-30,-3087.0,False
2017-01-17,2017Q1,INVERCAP,354675.2143398845,-267032.10019999987,149.253056,621707.3145398844,4165.45785528093,1305.0,0.686709109697141,-267032.10019999987,2025-06-30,-3086.0,False
2017-01-18,2017Q1,INVERCAP,354668.718575808,-267032.10019999987,149.253056,621700.8187758079,4165.414333464689,1319.0,0.6833448261309245,-267032.10019999987,2025-06-30,-3085.0,False
2017-01-19,2017Q1,INVERCAP,349803.3912825245,-267032.10019999987,149.253056,616835.4914825244,4132.816493100982,1287.1,0.6885658963690768,-267032.10019999987,2025-06-30,-3084.0,False
2017-01-20,2017Q1,INVERCAP,347503.8907994506,-267032.10019999987,149.253056,614535.9909994504,4117.409770152046,1305.7,0.6828831540000491,-267032.10019999987,2025-06-30,-3083.0,False
2017-01-23,2017Q1,INVERCAP,368758.0308576931,-267032.10019999987,149.253056,635790.1310576929,4259.813152889097,1336.5,0.6862538444688455,-267032.10019999987,2025-06-30,-3080.0,False
2017-01-24,2017Q1,INVERCAP,375403.1975079322,-267032.10019999987,149.253056,642435.2977079321,4304.335970902546,1369.0,0.6819486189613252,-267032.10019999987,2025-06-30,-3079.0,False
2017-01-25,2017Q1,INVERCAP,369355.64115272934,-267032.10019999987,149.253056,636387.7413527293,4263.817159983172,1349.2,0.6835699211817692,-267032.10019999987,2025-06-30,-3078.0,False
2017-01-26,2017Q1,INVERCAP,369602.4801876355,-267032.10019999987,149.253056,636634.5803876354,4265.470989000289,1350.0,0.6835050564213534,-267032.10019999987,2025-06-30,-3077.0,False
2017-01-27,2017Q1,INVERCAP,378040.4777229831,-267032.10019999987,149.253056,645072.577922983,4322.005828295958,1330.8,0.692087411986509,-267032.10019999987,2025-06-30,-3076.0,False
2017-01-30,2017Q1,INVERCAP,383289.0550967789,-267032.10019999987,149.253056,650321.1552967788,4357.171455817822,1350.0,0.6901659680622756,-267032.10019999987,2025-06-30,-3073.0,False
2017-01-31,2017Q1,INVERCAP,387037.11096890783,-267032.10019999987,149.253056,654069.2111689077,4382.283543788261,1315.0,0.6999281340743074,-267032.10019999987,2025-06-30,-3072.0,False
2017-02-01,2017Q1,INVERCAP,397138.02410783427,-267032.10019999987,149.253056,664170.1243078341,4449.959968041352,1365.0,0.6932556675109138,-267032.10019999987,2025-06-30,-3071.0,False
2017-02-02,2017Q1,INVERCAP,404738.06807731587,-267032.10019999987,149.253056,671770.1682773158,4500.880493042071,1375.0,0.6945042193131726,-267032.10019999987,2025-06-30,-3070.0,False
