Date,Date_quarter,Holding,HoldingValue,NetDebt,eqy_shares_total,NAV,NAV_PS,Price,Discount,NetDebt_ffill,LastFinDate,DaysSinceFin,StaleFund,HoldingValue_orig,NetDebt_orig,NAV_orig,eqy_shares_total_orig,NAV_PS_orig
2025-03-07,2025Q1,ALMENDRAL,503478.2126748816,1526.2800000001444,18048.204643,501951.9326748814,27.81173765500069,19.28,0.3067675152424948,1526.2800000001444,2025-09-30,-207.0,False,503478.2126748816,1526.2800000001444,501951.9326748814,18048.204643,27.81173765500069
2025-03-10,2025Q1,ALMENDRAL,496503.91025656194,1526.2800000001444,18048.204643,494977.6302565618,27.42531127319298,19.0,0.307209321683373,1526.2800000001444,2025-09-30,-204.0,False,496503.91025656194,1526.2800000001444,494977.6302565618,18048.204643,27.42531127319298
2025-03-11,2025Q1,ALMENDRAL,489861.71747721,1526.2800000001444,18048.204643,488335.4374772098,27.05728614766183,19.0,0.2977861897786118,1526.2800000001444,2025-09-30,-203.0,False,489861.71747721,1526.2800000001444,488335.4374772098,18048.204643,27.05728614766183
2025-03-12,2025Q1,ALMENDRAL,493016.7590474021,1526.2800000001444,18048.204643,491490.479047402,27.232098082289124,19.06,0.3000906524937935,1526.2800000001444,2025-09-30,-202.0,False,493016.7590474021,1526.2800000001444,491490.479047402,18048.204643,27.232098082289124
2025-03-13,2025Q1,ALMENDRAL,496321.2499551298,1526.2800000001444,18048.204643,494794.96995512967,27.415190582240875,19.0,0.3069535685698316,1526.2800000001444,2025-09-30,-201.0,False,496321.2499551298,1526.2800000001444,494794.96995512967,18048.204643,27.415190582240875
2025-03-14,2025Q1,ALMENDRAL,493697.5838072857,1526.2800000001444,18048.204643,492171.3038072856,27.269820657656062,19.0,0.3032590775522498,1526.2800000001444,2025-09-30,-200.0,False,493697.5838072857,1526.2800000001444,492171.3038072856,18048.204643,27.269820657656062
2025-03-17,2025Q1,ALMENDRAL,493780.6112170277,1526.2800000001444,18048.204643,492254.3312170275,27.27442097172521,19.0,0.3033765952466275,1526.2800000001444,2025-09-30,-197.0,False,493780.6112170277,1526.2800000001444,492254.3312170275,18048.204643,27.27442097172521
2025-03-18,2025Q1,ALMENDRAL,489878.3229591584,1526.2800000001444,18048.204643,488352.0429591583,27.05820621047566,19.0,0.29781006722300396,1526.2800000001444,2025-09-30,-196.0,False,489878.3229591584,1526.2800000001444,488352.0429591583,18048.204643,27.05820621047566
2025-03-19,2025Q1,ALMENDRAL,493847.0331448212,1526.2800000001444,18048.204643,492320.753144821,27.27810122298052,19.04,0.302004203138608,1526.2800000001444,2025-09-30,-195.0,False,493847.0331448212,1526.2800000001444,492320.753144821,18048.204643,27.27810122298052
2025-03-20,2025Q1,ALMENDRAL,489031.443379791,1526.2800000001444,18048.204643,487505.1633797909,27.01128300697044,19.04,0.2951093809543738,1526.2800000001444,2025-09-30,-194.0,False,489031.443379791,1526.2800000001444,487505.1633797909,18048.204643,27.01128300697044
2025-03-21,2025Q1,ALMENDRAL,483385.5795173418,1526.2800000001444,18048.204643,481859.29951734166,26.69846165026896,19.04,0.28685029686689123,1526.2800000001444,2025-09-30,-193.0,False,483385.5795173418,1526.2800000001444,481859.29951734166,18048.204643,26.69846165026896
2025-03-24,2025Q1,ALMENDRAL,484880.072892696,1526.2800000001444,18048.204643,483353.7928926958,26.781267303513463,19.04,0.2890553018190397,1526.2800000001444,2025-09-30,-190.0,False,484880.072892696,1526.2800000001444,483353.7928926958,18048.204643,26.781267303513463
2025-03-25,2025Q1,ALMENDRAL,487370.895184953,1526.2800000001444,18048.204643,485844.61518495285,26.919276725587647,19.04,0.292700164492092,1526.2800000001444,2025-09-30,-189.0,False,487370.895184953,1526.2800000001444,485844.61518495285,18048.204643,26.919276725587647
2025-03-26,2025Q1,ALMENDRAL,484066.4042772254,1526.2800000001444,18048.204643,482540.1242772252,26.7361842256359,19.0,0.28935259273902236,1526.2800000001444,2025-09-30,-188.0,False,484066.4042772254,1526.2800000001444,482540.1242772252,18048.204643,26.7361842256359
2025-03-27,2025Q1,ALMENDRAL,481558.97650302,1526.2800000001444,18048.204643,480032.69650301983,26.59725474074789,19.0,0.2856405600803845,1526.2800000001444,2025-09-30,-187.0,False,481558.97650302,1526.2800000001444,480032.69650301983,18048.204643,26.59725474074789
2025-03-28,2025Q1,ALMENDRAL,483219.524697858,1526.2800000001444,18048.204643,481693.2446978578,26.68926102213068,19.03,0.2869791342585183,1526.2800000001444,2025-09-30,-186.0,False,483219.524697858,1526.2800000001444,481693.2446978578,18048.204643,26.68926102213068
2025-03-31,2025Q1,ALMENDRAL,483219.524697858,1526.2800000001444,18048.204643,481693.2446978578,26.68926102213068,19.0,0.2881031818660982,1526.2800000001444,2025-09-30,-183.0,False,483219.524697858,1526.2800000001444,481693.2446978578,18048.204643,26.68926102213068
2025-04-01,2025Q2,ALMENDRAL,483219.524697858,-1571.293000000063,18048.204643,484790.817697858,26.86088878573771,19.0,0.2926518496257501,-1571.293000000063,2025-09-30,-182.0,False,483219.524697858,-1571.293000000063,484790.817697858,18048.204643,26.86088878573771
2025-04-02,2025Q2,ALMENDRAL,483219.524697858,-1571.293000000063,18048.204643,484790.817697858,26.86088878573771,19.0,0.2926518496257501,-1571.293000000063,2025-09-30,-181.0,False,483219.524697858,-1571.293000000063,484790.817697858,18048.204643,26.86088878573771
2025-04-03,2025Q2,ALMENDRAL,483219.524697858,-1571.293000000063,18048.204643,484790.817697858,26.86088878573771,19.0,0.2926518496257501,-1571.293000000063,2025-09-30,-180.0,False,483219.524697858,-1571.293000000063,484790.817697858,18048.204643,26.86088878573771
2025-04-04,2025Q2,ALMENDRAL,472093.8517924434,-1571.293000000063,18048.204643,473665.1447924435,26.244446700473038,18.89,0.2802286816867996,-1571.293000000063,2025-09-30,-179.0,False,472093.8517924434,-1571.293000000063,473665.1447924435,18048.204643,26.244446700473038
2025-04-07,2025Q2,ALMENDRAL,450008.560801098,-1571.293000000063,18048.204643,451579.85380109807,25.02076315808195,18.7,0.2526207181670349,-1571.293000000063,2025-09-30,-176.0,False,450008.560801098,-1571.293000000063,451579.85380109807,18048.204643,25.02076315808195
2025-04-08,2025Q2,ALMENDRAL,451669.108995936,-1571.293000000063,18048.204643,453240.40199593606,25.112769439464746,18.7,0.2553589103313739,-1571.293000000063,2025-09-30,-175.0,False,451669.108995936,-1571.293000000063,453240.40199593606,18048.204643,25.112769439464746
2025-04-09,2025Q2,ALMENDRAL,464953.49455464,-1571.293000000063,18048.204643,466524.78755464,25.848819690527044,18.96,0.26650422622784686,-1571.293000000063,2025-09-30,-174.0,False,464953.49455464,-1571.293000000063,466524.78755464,18048.204643,25.848819690527044
2025-04-10,2025Q2,ALMENDRAL,469935.139139154,-1571.293000000063,18048.204643,471506.43213915406,26.12483853467541,18.96,0.2742538877385038,-1571.293000000063,2025-09-30,-173.0,False,469935.139139154,-1571.293000000063,471506.43213915406,18048.204643,26.12483853467541
2025-04-11,2025Q2,ALMENDRAL,461798.4529844478,-1571.293000000063,18048.204643,463369.7459844479,25.674007755899748,18.96,0.26150992161934294,-1571.293000000063,2025-09-30,-172.0,False,461798.4529844478,-1571.293000000063,463369.7459844479,18048.204643,25.674007755899748
2025-04-14,2025Q2,ALMENDRAL,470267.2487781216,-1571.293000000063,18048.204643,471838.54177812167,26.143239790951966,18.96,0.27476471349346865,-1571.293000000063,2025-09-30,-169.0,False,470267.2487781216,-1571.293000000063,471838.54177812167,18048.204643,26.143239790951966
2025-04-15,2025Q2,ALMENDRAL,477092.10185890575,-1571.293000000063,18048.204643,478663.3948589058,26.521385607435224,18.9,0.2873675501063785,-1571.293000000063,2025-09-30,-168.0,False,477092.10185890575,-1571.293000000063,478663.3948589058,18048.204643,26.521385607435224
2025-04-16,2025Q2,ALMENDRAL,476577.331918506,-1571.293000000063,18048.204643,478148.624918506,26.49286366020656,18.89,0.2869777974068689,-1571.293000000063,2025-09-30,-167.0,False,476577.331918506,-1571.293000000063,478148.624918506,18048.204643,26.49286366020656
2025-04-17,2025Q2,ALMENDRAL,483485.212409032,-1571.293000000063,18048.204643,485056.5054090321,26.87560979075896,18.89,0.29713222706131015,-1571.293000000063,2025-09-30,-166.0,False,483485.212409032,-1571.293000000063,485056.5054090321,18048.204643,26.87560979075896
2025-04-21,2025Q2,ALMENDRAL,488234.3802462687,-1571.293000000063,18048.204643,489805.6732462688,27.13874775551373,18.9,0.30357877341042316,-1571.293000000063,2025-09-30,-162.0,False,488234.3802462687,-1571.293000000063,489805.6732462688,18048.204643,27.13874775551373
2025-04-22,2025Q2,ALMENDRAL,492286.1178416735,-1571.293000000063,18048.204643,493857.4108416736,27.363243082087735,19.06,0.3034451383258414,-1571.293000000063,2025-09-30,-161.0,False,492286.1178416735,-1571.293000000063,493857.4108416736,18048.204643,27.363243082087735
2025-04-23,2025Q2,ALMENDRAL,486374.56626805017,-1571.293000000063,18048.204643,487945.85926805023,27.03570072036501,19.06,0.2950062512845175,-1571.293000000063,2025-09-30,-160.0,False,486374.56626805017,-1571.293000000063,487945.85926805023,18048.204643,27.03570072036501
2025-04-24,2025Q2,ALMENDRAL,489695.66265772615,-1571.293000000063,18048.204643,491266.9556577262,27.219713283130584,19.5,0.2836074429893013,-1571.293000000063,2025-09-30,-159.0,False,489695.66265772615,-1571.293000000063,491266.9556577262,18048.204643,27.219713283130584
2025-04-25,2025Q2,ALMENDRAL,458477.3565947718,-1571.293000000063,18048.204643,460048.6495947719,25.48999519313417,19.47,0.23617090342785474,-1571.293000000063,2025-09-30,-158.0,False,458477.3565947718,-1571.293000000063,460048.6495947719,18048.204643,25.48999519313417
2025-04-28,2025Q2,ALMENDRAL,457929.3756904752,-1571.293000000063,18048.204643,459500.6686904753,25.45963312027785,19.47,0.23525999341708048,-1571.293000000063,2025-09-30,-155.0,False,457929.3756904752,-1571.293000000063,459500.6686904753,18048.204643,25.45963312027785
2025-04-29,2025Q2,ALMENDRAL,452831.4927323226,-1571.293000000063,18048.204643,454402.78573232266,25.177173836432694,19.39,0.2298579607874156,-1571.293000000063,2025-09-30,-154.0,False,452831.4927323226,-1571.293000000063,454402.78573232266,18048.204643,25.177173836432694
2025-04-30,2025Q2,ALMENDRAL,454990.205385612,-1571.293000000063,18048.204643,456561.498385612,25.29678200223032,19.39,0.23349934397622352,-1571.293000000063,2025-09-30,-153.0,False,454990.205385612,-1571.293000000063,456561.498385612,18048.204643,25.29678200223032
2025-05-02,2025Q2,ALMENDRAL,464953.49455464,-1571.293000000063,18048.204643,466524.78755464,25.848819690527044,19.39,0.24986903726571474,-1571.293000000063,2025-09-30,-151.0,False,464953.49455464,-1571.293000000063,466524.78755464,18048.204643,25.848819690527044
2025-05-05,2025Q2,ALMENDRAL,464405.5136503434,-1571.293000000063,18048.204643,465976.80665034347,25.81845761767072,19.39,0.24898689584272227,-1571.293000000063,2025-09-30,-148.0,False,464405.5136503434,-1571.293000000063,465976.80665034347,18048.204643,25.81845761767072
