Description,Value,Curncy,Date,ID
Total de activos,4.144.828,USD,2017-09-30,SQM-B
Otros pasivos financieros corrientes,133.562,USD,2017-09-30,SQM-B
Cuentas por pagar comerciales y otras cuentas por pagar,169.315,USD,2017-09-30,SQM-B
"Cuentas por pagar a entidades relacionadas, corrientes",1.052,USD,2017-09-30,SQM-B
Otras provisiones a corto plazo,46.970,USD,2017-09-30,SQM-B
"Pasivos por impuestos corrientes, corrientes",71.757,USD,2017-09-30,SQM-B
Provisiones corrientes por beneficios a los empleados,15.675,USD,2017-09-30,SQM-B
Otros pasivos no financieros corrientes,181.560,USD,2017-09-30,SQM-B
Total de pasivos corrientes distintos de los pasivos incluidos en grupos de activos para su disposición clasificados como mantenidos para la venta,619.891,USD,2017-09-30,SQM-B
Pasivos incluidos en grupos de activos para su disposición clasificados como mantenidos para la venta,-,USD,2017-09-30,SQM-B
Pasivos corrientes totales,619.891,USD,2017-09-30,SQM-B
Otros pasivos financieros no corrientes,1.021.168,USD,2017-09-30,SQM-B
Cuentas por pagar no corrientes,-,USD,2017-09-30,SQM-B
"Cuentas por pagar a entidades relacionadas, no corrientes",-,USD,2017-09-30,SQM-B
Otras provisiones a largo plazo,16.564,USD,2017-09-30,SQM-B
Pasivo por impuestos diferidos,206.003,USD,2017-09-30,SQM-B
"Pasivos por impuestos corrientes, no corrientes",-,USD,2017-09-30,SQM-B
Provisiones no corrientes por beneficios a los empleados,29.706,USD,2017-09-30,SQM-B
Otros pasivos no financieros no corrientes,-,USD,2017-09-30,SQM-B
Total de pasivos no corrientes,1.273.441,USD,2017-09-30,SQM-B
Total de pasivos,1.893.332,USD,2017-09-30,SQM-B
Capital emitido,477.386,USD,2017-09-30,SQM-B
Ganancias (pérdidas) acumuladas,1.724.787,USD,2017-09-30,SQM-B
Prima de emisión,-,USD,2017-09-30,SQM-B
Acciones propias en cartera,-,USD,2017-09-30,SQM-B
Otras participaciones en el patrimonio,-,USD,2017-09-30,SQM-B
Otras reservas,-9.867,USD,2017-09-30,SQM-B
Patrimonio atribuible a los propietarios de la controladora,2.192.306,USD,2017-09-30,SQM-B
Participaciones no controladoras,59.190,USD,2017-09-30,SQM-B
Patrimonio total,2.251.496,USD,2017-09-30,SQM-B
Total de patrimonio y pasivos,4.144.828,USD,2017-09-30,SQM-B
Efectivo y equivalentes al efectivo,630.438,USD,2017-12-31,SQM-B
Otros activos financieros corrientes,366.979,USD,2017-12-31,SQM-B
Otros activos no financieros corrientes,26.883,USD,2017-12-31,SQM-B
