ID,Date,Balance2,Value
ANTARCHILE,2018-12-31,Cash,1449649.6030200003
ANTARCHILE,2018-12-31,Debt,5317535.733980001
ANTARCHILE,2019-03-31,Cash,1202649.65148
ANTARCHILE,2019-03-31,Debt,5603591.01183
ANTARCHILE,2019-06-30,Cash,1484440.99686
ANTARCHILE,2019-06-30,Debt,6321884.20758
ANTARCHILE,2019-09-30,Cash,1372882.0620799998
ANTARCHILE,2019-09-30,Debt,6490842.582959998
ANTARCHILE,2019-12-31,Cash,1770547.01132
ANTARCHILE,2019-12-31,Debt,7031029.6728
ANTARCHILE,2020-03-31,Cash,1654555.4298
ANTARCHILE,2020-03-31,Debt,7519345.0331999995
ANTARCHILE,2020-06-30,Cash,1835201.7708
ANTARCHILE,2020-06-30,Debt,7530907.93824
ANTARCHILE,2020-09-30,Cash,1830569.57286
ANTARCHILE,2020-09-30,Debt,7198584.6386400005
ANTARCHILE,2020-12-31,Cash,1692619.6206
ANTARCHILE,2020-12-31,Debt,6565125.7134
ANTARCHILE,2021-03-31,Cash,1516566.59711
ANTARCHILE,2021-03-31,Debt,6483338.47379
ANTARCHILE,2021-06-30,Cash,1632851.0016
ANTARCHILE,2021-06-30,Debt,6534931.87984
ANTARCHILE,2021-09-30,Cash,2117284.4673800003
ANTARCHILE,2021-09-30,Debt,7098749.32405
ANTARCHILE,2021-12-31,Cash,1631133.204
ANTARCHILE,2021-12-31,Debt,7286615.292
ANTARCHILE,2022-03-31,Cash,1601343.2028
ANTARCHILE,2022-03-31,Debt,6731957.6236
ANTARCHILE,2022-06-30,Cash,1787680.18418
ANTARCHILE,2022-06-30,Debt,7972668.853190001
ANTARCHILE,2022-09-30,Cash,1747006.17
ANTARCHILE,2022-09-30,Debt,8389901.268
ANTARCHILE,2022-12-31,Cash,1684750.4767900002
ANTARCHILE,2022-12-31,Debt,8071006.90142
ANTARCHILE,2023-03-31,Cash,1606832.93176
ANTARCHILE,2023-03-31,Debt,7925884.162559999
ANTARCHILE,2023-06-30,Cash,1305616.8129599998
ANTARCHILE,2023-06-30,Debt,8206018.376999999
ANTARCHILE,2023-09-30,Cash,1508122.07568
ANTARCHILE,2023-09-30,Debt,9091124.50356
ANTARCHILE,2023-12-31,Cash,1763147.0962
ANTARCHILE,2023-12-31,Debt,8679765.1521
ANTARCHILE,2024-03-31,Cash,2099682.03396
ANTARCHILE,2024-03-31,Debt,9354766.59852
ANTARCHILE,2024-06-30,Cash,1847875.60692
ANTARCHILE,2024-06-30,Debt,9189928.79868
ANTARCHILE,2024-09-30,Cash,1962396.735
ANTARCHILE,2024-09-30,Debt,7763618.64
ANTARCHILE,2024-12-31,Cash,2347035.46524
ANTARCHILE,2024-12-31,Debt,9057993.096439999
ANTARCHILE,2025-03-31,Cash,2212713.1353
ANTARCHILE,2025-03-31,Debt,8860656.9755
ANTARCHILE,2025-06-30,Cash,2615431.66534
ANTARCHILE,2025-06-30,Debt,9344203.258779999
CAP,2017-03-31,Cash,-556098.97072
CAP,2017-03-31,Debt,-859073.0866599999
CAP,2017-06-30,Cash,-475681.40361000004
CAP,2017-06-30,Debt,-767512.3734900001
CAP,2017-09-30,Cash,-449460.07175
CAP,2017-09-30,Debt,-723752.6404500001
CAP,2017-12-31,Cash,-430765.97004000004
CAP,2017-12-31,Debt,-663162.8641600001
CAP,2018-03-31,Cash,-421329.35438000003
CAP,2018-03-31,Debt,-638418.56384
CAP,2018-06-30,Cash,-316498.95290000003
CAP,2018-06-30,Debt,-546328.1138
CAP,2018-09-30,Cash,-298048.086
CAP,2018-09-30,Debt,-550055.1105
CAP,2018-12-31,Cash,-330369.2672
CAP,2018-12-31,Debt,-575693.21466
CAP,2019-03-31,Cash,-273138.88488
CAP,2019-03-31,Debt,-590675.98359
CAP,2019-06-30,Cash,-255690.58698000002
CAP,2019-06-30,Debt,-655720.21098
CAP,2019-09-30,Cash,-238441.75736
CAP,2019-09-30,Debt,-698242.0392
CAP,2019-12-31,Cash,-252726.26186
CAP,2019-12-31,Debt,-749596.2954599999
CAP,2020-03-31,Cash,-408604.64189999993
