Date,Date_quarter,Holding,HoldingValue
2017-02-18,2017Q1,ALMENDRAL,1211237.0642787337
2017-02-18,2017Q1,ANTARCHILE,5653519.580405874
2017-02-18,2017Q1,IAM,1069570.8324428035
2017-02-18,2017Q1,INVERCAP,497276.72311084997
2017-02-18,2017Q1,QUINENCO,0.0
2017-02-19,2017Q1,ALMENDRAL,1211237.0642787337
2017-02-19,2017Q1,ANTARCHILE,5653519.580405874
2017-02-19,2017Q1,IAM,1069570.8324428035
2017-02-19,2017Q1,INVERCAP,497276.72311084997
2017-02-19,2017Q1,QUINENCO,0.0
2017-02-20,2017Q1,ALMENDRAL,1212266.6041595335
2017-02-20,2017Q1,ANTARCHILE,5641222.52249808
2017-02-20,2017Q1,IAM,1073662.3223391129
2017-02-20,2017Q1,INVERCAP,530924.7810270163
2017-02-20,2017Q1,QUINENCO,0.0
2017-02-21,2017Q1,ALMENDRAL,1212200.1822317399
2017-02-21,2017Q1,ANTARCHILE,5728880.351189923
2017-02-21,2017Q1,IAM,1069570.8324428035
2017-02-21,2017Q1,INVERCAP,514477.506385369
2017-02-21,2017Q1,QUINENCO,0.0
2017-02-22,2017Q1,ALMENDRAL,1223657.9647761222
2017-02-22,2017Q1,ANTARCHILE,5781306.539328395
2017-02-22,2017Q1,IAM,1064279.5823513353
2017-02-22,2017Q1,INVERCAP,497562.53673021507
2017-02-22,2017Q1,QUINENCO,0.0
2017-02-23,2017Q1,ALMENDRAL,1200991.4819165834
2017-02-23,2017Q1,ANTARCHILE,5695941.437159146
2017-02-23,2017Q1,IAM,1064433.397760971
2017-02-23,2017Q1,INVERCAP,467253.30154935934
2017-02-23,2017Q1,QUINENCO,0.0
2017-02-24,2017Q1,ALMENDRAL,1202336.5259544023
2017-02-24,2017Q1,ANTARCHILE,5710034.0693078255
2017-02-24,2017Q1,IAM,1052989.5312840752
2017-02-24,2017Q1,INVERCAP,476068.05340114277
2017-02-24,2017Q1,QUINENCO,0.0
2017-02-25,2017Q1,ALMENDRAL,1202336.5259544023
2017-02-25,2017Q1,ANTARCHILE,5710034.0693078255
2017-02-25,2017Q1,IAM,1052989.5312840752
2017-02-25,2017Q1,INVERCAP,476068.05340114277
2017-02-25,2017Q1,QUINENCO,0.0
2017-02-26,2017Q1,ALMENDRAL,1202336.5259544023
2017-02-26,2017Q1,ANTARCHILE,5710034.0693078255
2017-02-26,2017Q1,IAM,1052989.5312840752
2017-02-26,2017Q1,INVERCAP,476068.05340114277
2017-02-26,2017Q1,QUINENCO,0.0
2017-02-27,2017Q1,ALMENDRAL,1205026.6140300399
2017-02-27,2017Q1,ANTARCHILE,5699901.512124825
2017-02-27,2017Q1,IAM,1060249.61861888
2017-02-27,2017Q1,INVERCAP,470039.9843381693
2017-02-27,2017Q1,QUINENCO,0.0
2017-02-28,2017Q1,ALMENDRAL,1199580.015950971
2017-02-28,2017Q1,ANTARCHILE,5619882.475189313
2017-02-28,2017Q1,IAM,1077200.0767607342
2017-02-28,2017Q1,INVERCAP,482420.9106679402
2017-02-28,2017Q1,QUINENCO,0.0
2017-03-01,2017Q1,ALMENDRAL,1191244.0640128844
2017-03-01,2017Q1,ANTARCHILE,5651365.403402888
2017-03-01,2017Q1,IAM,1095042.6642784753
2017-03-01,2017Q1,INVERCAP,501317.08836642053
2017-03-01,2017Q1,QUINENCO,0.0
2017-03-02,2017Q1,ALMENDRAL,1203581.9371005306
2017-03-02,2017Q1,ANTARCHILE,5725909.101618336
2017-03-02,2017Q1,IAM,1100979.9390904135
2017-03-02,2017Q1,INVERCAP,478477.98187351675
2017-03-02,2017Q1,QUINENCO,0.0
2017-03-03,2017Q1,ALMENDRAL,1244597.4775130295
2017-03-03,2017Q1,ANTARCHILE,5665170.098537042
2017-03-03,2017Q1,IAM,1109778.1805215755
2017-03-03,2017Q1,INVERCAP,485512.8943683447
2017-03-03,2017Q1,QUINENCO,0.0
2017-03-04,2017Q1,ALMENDRAL,1244597.4775130295
2017-03-04,2017Q1,ANTARCHILE,5665170.098537042
2017-03-04,2017Q1,IAM,1109778.1805215755
2017-03-04,2017Q1,INVERCAP,485512.8943683447
2017-03-04,2017Q1,QUINENCO,0.0
2017-03-05,2017Q1,ALMENDRAL,1244597.4775130295
2017-03-05,2017Q1,ANTARCHILE,5665170.098537042
2017-03-05,2017Q1,IAM,1109778.1805215755
2017-03-05,2017Q1,INVERCAP,485512.8943683447
2017-03-05,2017Q1,QUINENCO,0.0
2017-03-06,2017Q1,ALMENDRAL,1244348.3952838038
2017-03-06,2017Q1,ANTARCHILE,5781683.023958627
2017-03-06,2017Q1,IAM,1107347.8970493313
2017-03-06,2017Q1,INVERCAP,479855.08385773055
2017-03-06,2017Q1,QUINENCO,0.0
2017-03-07,2017Q1,ALMENDRAL,1238702.5314213545
2017-03-07,2017Q1,ANTARCHILE,5765008.869329349
2017-03-07,2017Q1,IAM,1112577.6209769452
2017-03-07,2017Q1,INVERCAP,479777.13468881283
2017-03-07,2017Q1,QUINENCO,0.0
2017-03-08,2017Q1,ALMENDRAL,1237573.3586488646
2017-03-08,2017Q1,ANTARCHILE,5701231.591847914
2017-03-08,2017Q1,IAM,1098641.9448639508
2017-03-08,2017Q1,INVERCAP,472852.6501832851
2017-03-08,2017Q1,QUINENCO,0.0
2017-03-09,2017Q1,ALMENDRAL,1246639.95179268
2017-03-09,2017Q1,ANTARCHILE,5703765.516910061
2017-03-09,2017Q1,IAM,1106363.478427663
2017-03-09,2017Q1,INVERCAP,482895.10144552327
2017-03-09,2017Q1,QUINENCO,0.0
2017-03-10,2017Q1,ALMENDRAL,1239150.8794339607
2017-03-10,2017Q1,ANTARCHILE,5723387.354928361
2017-03-10,2017Q1,IAM,1099164.9172567122
2017-03-10,2017Q1,INVERCAP,477425.6680931271
2017-03-10,2017Q1,QUINENCO,0.0
2017-03-11,2017Q1,ALMENDRAL,1239150.8794339607
2017-03-11,2017Q1,ANTARCHILE,5723387.354928361
2017-03-11,2017Q1,IAM,1099164.9172567122
2017-03-11,2017Q1,INVERCAP,477425.6680931271
2017-03-11,2017Q1,QUINENCO,0.0
2017-03-12,2017Q1,ALMENDRAL,1239150.8794339607
2017-03-12,2017Q1,ANTARCHILE,5723387.354928361
2017-03-12,2017Q1,IAM,1099164.9172567122
2017-03-12,2017Q1,INVERCAP,477425.6680931271
2017-03-12,2017Q1,QUINENCO,0.0
2017-03-13,2017Q1,ALMENDRAL,1260073.7866889196
2017-03-13,2017Q1,ANTARCHILE,5764537.482570546
2017-03-13,2017Q1,IAM,1105163.7182325043
2017-03-13,2017Q1,INVERCAP,491631.9041283888
2017-03-13,2017Q1,QUINENCO,0.0
2017-03-14,2017Q1,ALMENDRAL,1270186.525195483
2017-03-14,2017Q1,ANTARCHILE,5716406.594722338
2017-03-14,2017Q1,IAM,1119530.077492479
2017-03-14,2017Q1,INVERCAP,494022.34530853346
2017-03-14,2017Q1,QUINENCO,0.0
2017-03-15,2017Q1,ALMENDRAL,1294347.501430376
2017-03-15,2017Q1,ANTARCHILE,5635041.418045851
2017-03-15,2017Q1,IAM,1123252.4104056626
2017-03-15,2017Q1,INVERCAP,512535.2729265014
2017-03-15,2017Q1,QUINENCO,0.0
2017-03-16,2017Q1,ALMENDRAL,1301653.9134876628
2017-03-16,2017Q1,ANTARCHILE,5710771.115313809
2017-03-16,2017Q1,IAM,1138172.5051403258
2017-03-16,2017Q1,INVERCAP,522818.0674595693
2017-03-16,2017Q1,QUINENCO,0.0
2017-03-17,2017Q1,ALMENDRAL,1334001.3923231072
2017-03-17,2017Q1,ANTARCHILE,5716818.326053864
2017-03-17,2017Q1,IAM,1163828.9154675603
2017-03-17,2017Q1,INVERCAP,545144.0085904311
2017-03-17,2017Q1,QUINENCO,0.0
2017-03-18,2017Q1,ALMENDRAL,1334001.3923231072
2017-03-18,2017Q1,ANTARCHILE,5716818.326053864
2017-03-18,2017Q1,IAM,1163828.9154675603
2017-03-18,2017Q1,INVERCAP,545144.0085904311
2017-03-18,2017Q1,QUINENCO,0.0
2017-03-19,2017Q1,ALMENDRAL,1334001.3923231072
2017-03-19,2017Q1,ANTARCHILE,5716818.326053864
2017-03-19,2017Q1,IAM,1163828.9154675603
2017-03-19,2017Q1,INVERCAP,545144.0085904311
2017-03-19,2017Q1,QUINENCO,0.0
2017-03-20,2017Q1,ALMENDRAL,1344595.6898061738
2017-03-20,2017Q1,ANTARCHILE,5777271.178389291
2017-03-20,2017Q1,IAM,1165490.121891626
2017-03-20,2017Q1,INVERCAP,529060.4967370665
2017-03-20,2017Q1,QUINENCO,0.0
2017-03-21,2017Q1,ALMENDRAL,1344711.9281798122
2017-03-21,2017Q1,ANTARCHILE,5739423.575615865
2017-03-21,2017Q1,IAM,1166843.6974964202
2017-03-21,2017Q1,INVERCAP,504714.37297841953
2017-03-21,2017Q1,QUINENCO,0.0
2017-03-22,2017Q1,ALMENDRAL,1330746.717861225
2017-03-22,2017Q1,ANTARCHILE,5854732.174245011
2017-03-22,2017Q1,IAM,1181333.1090841033
2017-03-22,2017Q1,INVERCAP,514198.1885300803
2017-03-22,2017Q1,QUINENCO,0.0
2017-03-23,2017Q1,ALMENDRAL,1362463.1883826305
2017-03-23,2017Q1,ANTARCHILE,5966803.554946995
2017-03-23,2017Q1,IAM,1198683.4872910099
2017-03-23,2017Q1,INVERCAP,506747.5471343578
2017-03-23,2017Q1,QUINENCO,0.0
2017-03-24,2017Q1,ALMENDRAL,1364223.3694691588
2017-03-24,2017Q1,ANTARCHILE,5945864.297031159
2017-03-24,2017Q1,IAM,1182809.737016606
2017-03-24,2017Q1,INVERCAP,501453.4994120266
2017-03-24,2017Q1,QUINENCO,0.0
2017-03-25,2017Q1,ALMENDRAL,1364223.3694691588
2017-03-25,2017Q1,ANTARCHILE,5945864.297031159
2017-03-25,2017Q1,IAM,1182809.737016606
2017-03-25,2017Q1,INVERCAP,501453.4994120266
2017-03-25,2017Q1,QUINENCO,0.0
2017-03-26,2017Q1,ALMENDRAL,1364223.3694691588
2017-03-26,2017Q1,ANTARCHILE,5945864.297031159
2017-03-26,2017Q1,IAM,1182809.737016606
2017-03-26,2017Q1,INVERCAP,501453.4994120266
2017-03-26,2017Q1,QUINENCO,0.0
2017-03-27,2017Q1,ALMENDRAL,1332955.2469603592
2017-03-27,2017Q1,ANTARCHILE,5928380.885106352
2017-03-27,2017Q1,IAM,1182871.26318046
2017-03-27,2017Q1,INVERCAP,493411.7434853443
2017-03-27,2017Q1,QUINENCO,0.0
2017-03-28,2017Q1,ALMENDRAL,1372974.4584559554
2017-03-28,2017Q1,ANTARCHILE,6038907.11415864
2017-03-28,2017Q1,IAM,1199944.7736500227
2017-03-28,2017Q1,INVERCAP,517939.7486381328
2017-03-28,2017Q1,QUINENCO,0.0
2017-03-29,2017Q1,ALMENDRAL,1350922.3784285064
2017-03-29,2017Q1,ANTARCHILE,5957143.672938017
2017-03-29,2017Q1,IAM,1189239.221139378
2017-03-29,2017Q1,INVERCAP,520070.35925521824
2017-03-29,2017Q1,QUINENCO,0.0
2017-03-30,2017Q1,ALMENDRAL,1339763.494559195
2017-03-30,2017Q1,ANTARCHILE,5875680.347104089
2017-03-30,2017Q1,IAM,1198252.80414403
2017-03-30,2017Q1,INVERCAP,514860.75646588136
2017-03-30,2017Q1,QUINENCO,0.0
2017-03-31,2017Q1,ALMENDRAL,1324486.4511666857
2017-03-31,2017Q1,ANTARCHILE,5932562.783183126
2017-03-31,2017Q1,IAM,1183486.5248190027
2017-03-31,2017Q1,INVERCAP,505032.665418167
2017-03-31,2017Q1,QUINENCO,0.0
2017-04-01,2017Q2,ALMENDRAL,1324486.4511666857
2017-04-01,2017Q2,ANTARCHILE,5932562.783183126
2017-04-01,2017Q2,IAM,1183486.5248190027
2017-04-01,2017Q2,INVERCAP,505032.665418167
2017-04-01,2017Q2,QUINENCO,0.0
2017-04-02,2017Q2,ALMENDRAL,1324486.4511666857
2017-04-02,2017Q2,ANTARCHILE,5932562.783183126
2017-04-02,2017Q2,IAM,1183486.5248190027
2017-04-02,2017Q2,INVERCAP,505032.665418167
2017-04-02,2017Q2,QUINENCO,0.0
2017-04-03,2017Q2,ALMENDRAL,1338617.716304757
2017-04-03,2017Q2,ANTARCHILE,5957020.496837803
2017-04-03,2017Q2,IAM,1190961.953727298
2017-04-03,2017Q2,INVERCAP,499030.57941149955
2017-04-03,2017Q2,QUINENCO,0.0
2017-04-04,2017Q2,ALMENDRAL,1348979.537040546
2017-04-04,2017Q2,ANTARCHILE,5918278.215818663
2017-04-04,2017Q2,IAM,1194684.286640482
2017-04-04,2017Q2,INVERCAP,514893.23528626375
2017-04-04,2017Q2,QUINENCO,0.0
