Date,ID,Price
2018-07-08,AGUAS-A,361.7
2018-07-09,AGUAS-A,365.08
2018-07-10,AGUAS-A,366.07
2018-07-11,AGUAS-A,362.25
2018-07-12,AGUAS-A,360.74
2018-07-13,AGUAS-A,361.49
2018-07-14,AGUAS-A,361.49
2018-07-15,AGUAS-A,361.49
2018-07-16,AGUAS-A,361.49
2018-07-17,AGUAS-A,361.74
2018-07-18,AGUAS-A,363.68
2018-07-19,AGUAS-A,362.93
2018-07-20,AGUAS-A,363.29
2018-07-21,AGUAS-A,363.29
2018-07-22,AGUAS-A,363.29
2018-07-23,AGUAS-A,364.07
2018-07-24,AGUAS-A,373.18
2018-07-25,AGUAS-A,369.0
2018-07-26,AGUAS-A,365.98
2018-07-27,AGUAS-A,369.67
2018-07-28,AGUAS-A,369.67
2018-07-29,AGUAS-A,369.67
2018-07-30,AGUAS-A,372.6
2018-07-31,AGUAS-A,371.16
2018-08-01,AGUAS-A,371.7
2018-08-02,AGUAS-A,373.33
2018-08-03,AGUAS-A,370.86
2018-08-04,AGUAS-A,370.86
2018-08-05,AGUAS-A,370.86
2018-08-06,AGUAS-A,367.22
2018-08-07,AGUAS-A,363.81
2018-08-08,AGUAS-A,364.52
2018-08-09,AGUAS-A,363.17
2018-08-10,AGUAS-A,361.84
2018-08-11,AGUAS-A,361.84
2018-08-12,AGUAS-A,361.84
2018-08-13,AGUAS-A,355.28
2018-08-14,AGUAS-A,360.96
2018-08-15,AGUAS-A,360.96
2018-08-16,AGUAS-A,359.25
2018-08-17,AGUAS-A,360.06
2018-08-18,AGUAS-A,360.06
2018-08-19,AGUAS-A,360.06
2018-08-20,AGUAS-A,360.22
2018-08-21,AGUAS-A,358.3
2018-08-22,AGUAS-A,356.38
2018-08-23,AGUAS-A,357.82
2018-08-24,AGUAS-A,357.1
2018-08-25,AGUAS-A,357.1
2018-08-26,AGUAS-A,357.1
2018-08-27,AGUAS-A,357.63
2018-08-28,AGUAS-A,361.95
2018-08-29,AGUAS-A,360.65
2018-08-30,AGUAS-A,361.6
2018-08-31,AGUAS-A,365.12
2018-09-01,AGUAS-A,365.12
2018-09-02,AGUAS-A,365.12
2018-09-03,AGUAS-A,362.03
2018-09-04,AGUAS-A,359.87
2018-09-05,AGUAS-A,360.83
2018-09-06,AGUAS-A,360.18
2018-09-07,AGUAS-A,364.97
2018-09-08,AGUAS-A,364.97
2018-09-09,AGUAS-A,364.97
2018-09-10,AGUAS-A,364.53
2018-09-11,AGUAS-A,364.76
2018-09-12,AGUAS-A,367.21
2018-09-13,AGUAS-A,367.53
2018-09-14,AGUAS-A,367.08
2018-09-15,AGUAS-A,367.08
2018-09-16,AGUAS-A,367.08
2018-09-17,AGUAS-A,367.08
2018-09-18,AGUAS-A,367.08
2018-09-19,AGUAS-A,367.08
2018-09-20,AGUAS-A,370.24
2018-09-21,AGUAS-A,370.3
2018-09-22,AGUAS-A,370.3
2018-09-23,AGUAS-A,370.3
2018-09-24,AGUAS-A,365.82
