Date,Date_quarter,Holding,HoldingValue,NetDebt,eqy_shares_total,NAV,NAV_PS,Price,stale,Discount
2020-12-01,2020Q4,INVERCAP,477568.5749028097,-71670.9435600001,149.253056,549239.5184628097,3679.9214246092874,2165.0,False,0.4116722206290404
2020-12-02,2020Q4,INVERCAP,478088.236028928,-71670.9435600001,149.253056,549759.1795889281,3683.403169908482,2167.6,False,0.4115224698430565
2020-12-03,2020Q4,INVERCAP,481855.7791932864,-71670.9435600001,149.253056,553526.7227532865,3708.645823327641,2168.0,False,0.41542004729512627
2020-12-04,2020Q4,INVERCAP,493671.57404840353,-71670.9435600001,149.253056,565342.5176084037,3787.8120070680748,2200.0,False,0.419189760237628
2020-12-07,2020Q4,INVERCAP,499965.96943851263,-71670.9435600001,149.253056,571636.9129985127,3829.9846470045663,2200.0,False,0.42558516475500197
2020-12-09,2020Q4,INVERCAP,532444.7898209126,-71670.9435600001,149.253056,604115.7333809128,4047.5937282042173,2320.0,False,0.4268199439499313
2020-12-10,2020Q4,INVERCAP,543045.8767937281,-71670.9435600001,149.253056,614716.8203537283,4118.6213323077845,2324.5,False,0.43561211083770246
2020-12-11,2020Q4,INVERCAP,552139.9465008001,-71670.9435600001,149.253056,623810.8900608001,4179.551875043686,2331.7,False,0.4421172245946515
2020-12-14,2020Q4,INVERCAP,581435.8424857248,-71670.9435600001,149.253056,653106.786045725,4375.835266285771,2335.3,False,0.46631903216452353
2020-12-15,2020Q4,INVERCAP,567599.8650028225,-71670.9435600001,149.253056,639270.8085628226,4283.13379769472,2326.5,False,0.45682294556098735
2020-12-16,2020Q4,INVERCAP,573900.756157008,-71670.9435600001,149.253056,645571.699717008,4325.349959447451,2300.0,False,0.468251119201042
2020-12-17,2020Q4,INVERCAP,574940.0784092449,-71670.9435600001,149.253056,646611.021969245,4332.313450045841,2340.0,False,0.4598728769324759
2020-12-18,2020Q4,INVERCAP,583319.6140679041,-71670.9435600001,149.253056,654990.5576279042,4388.456592995351,2358.0,False,0.46268125250145364
2020-12-21,2020Q4,INVERCAP,613524.917023536,-71670.9435600001,149.253056,685195.8605835361,4590.833038511025,2354.4,False,0.4871519002652255
2020-12-22,2020Q4,INVERCAP,601553.2238305834,-71670.9435600001,149.253056,673224.1673905835,4510.622331180834,2364.5,False,0.47579295574032276
2020-12-23,2020Q4,INVERCAP,602806.906297344,-71670.9435600001,149.253056,674477.8498573441,4519.02204171514,2533.5,False,0.4393698511285773
2020-12-24,2020Q4,INVERCAP,603456.482704992,-71670.9435600001,149.253056,675127.4262649922,4523.374223339134,2527.3,False,0.44127992175399566
2020-12-28,2020Q4,INVERCAP,629504.4966516768,-71670.9435600001,149.253056,701175.440211677,4697.896706461253,2556.7,False,0.4557777320894174
2020-12-29,2020Q4,INVERCAP,617097.5872656,-71670.9435600001,149.253056,688768.5308256,4614.770037442986,2600.0,False,0.43659164402466233
2020-12-30,2020Q4,INVERCAP,620020.681100016,-71670.9435600001,149.253056,691691.624660016,4634.3548547509545,2633.4,False,0.43176556769269747
2021-01-04,2021Q1,INVERCAP,635285.7266797441,113548.79677999998,149.253056,521736.9298997441,3495.6532474601,2721.5,False,0.22146168188237503
2021-01-05,2021Q1,INVERCAP,629692.8738098947,113548.79677999998,149.253056,516144.0770298947,3458.1809636775192,2713.1,False,0.21545459057908323
2021-01-06,2021Q1,INVERCAP,606379.576539408,113548.79677999998,149.253056,492830.779759408,3301.98116519241,2662.0,False,0.19381732759069736
2021-01-07,2021Q1,INVERCAP,617097.5872656,113548.79677999998,149.253056,503548.7904856,3373.792161988295,2643.7,False,0.21640104871131893
2021-01-08,2021Q1,INVERCAP,615200.8241552678,113548.79677999998,149.253056,501652.0273752678,3361.083791646235,2658.2,False,0.209124150190248
2021-01-11,2021Q1,INVERCAP,604041.1014718752,113548.79677999998,149.253056,490492.30469187524,3286.3133113460353,2621.0,False,0.20244975092576634
2021-01-12,2021Q1,INVERCAP,597279.0110682596,113548.79677999998,149.253056,483730.2142882596,3241.0071006402686,2650.4,False,0.18222949913426378
2021-01-13,2021Q1,INVERCAP,610595.3274250436,113548.79677999998,149.253056,497046.5306450436,3330.226823932125,2628.9,False,0.21059431114185845
2021-01-14,2021Q1,INVERCAP,613992.6120370426,113548.79677999998,149.253056,500443.81525704265,3352.988733825609,2628.9,False,0.2159532260042688
2021-01-15,2021Q1,INVERCAP,602157.3298896961,113548.79677999998,149.253056,488608.5331096961,3273.6919846364563,2628.9,False,0.19696171407160057
2021-01-18,2021Q1,INVERCAP,615733.4768095393,113548.79677999998,149.253056,502184.6800295393,3364.65258057791,2628.9,False,0.21867118906271676
2021-01-19,2021Q1,INVERCAP,630024.1577777952,113548.79677999998,149.253056,516475.36099779524,3460.400576305756,2630.1,False,0.23994348573140223
2021-01-20,2021Q1,INVERCAP,636519.9218542752,113548.79677999998,149.253056,522971.1250742752,3503.922392545686,2738.7,False,0.21839022296088384
2021-01-21,2021Q1,INVERCAP,630089.11541856,113548.79677999998,149.253056,516540.31863856,3460.835794468155,2738.7,False,0.20865936362032156
2021-01-22,2021Q1,INVERCAP,625217.2923612,113548.79677999998,149.253056,511668.4955812,3428.1944322882073,2738.7,False,0.201124657864867
2021-01-25,2021Q1,INVERCAP,620345.46930384,113548.79677999998,149.253056,506796.67252384,3395.55307010826,2652.0,False,0.2189784859067313
2021-01-26,2021Q1,INVERCAP,626451.4875357313,113548.79677999998,149.253056,512902.6907557313,3436.463577373795,2652.0,False,0.22827641257099995
2021-01-27,2021Q1,INVERCAP,615798.434450304,113548.79677999998,149.253056,502249.63767030404,3365.087798740309,2652.0,False,0.21190763551763714
2021-01-28,2021Q1,INVERCAP,609952.246781472,113548.79677999998,149.253056,496403.450001472,3325.9181641243717,2652.0,False,0.2026262015084177
2021-01-29,2021Q1,INVERCAP,607353.9411508801,113548.79677999998,149.253056,493805.1443708801,3308.5094376284005,2705.5,False,0.18226015340027213
2021-02-01,2021Q1,INVERCAP,597610.29503616,113548.79677999998,149.253056,484061.49825616006,3243.2267132685047,2694.7,False,0.16912993193611892
2021-02-02,2021Q1,INVERCAP,572926.3915455361,113548.79677999998,149.253056,459377.59476553614,3077.843811556771,2694.7,False,0.12448448817257474
2021-02-03,2021Q1,INVERCAP,590926.1538014621,113548.79677999998,149.253056,477377.3570214622,3198.442764357617,2694.7,False,0.15749625723216276
2021-02-04,2021Q1,INVERCAP,601182.9652782241,113548.79677999998,149.253056,487634.1684982241,3267.1637122004668,2656.0,False,0.18706246948024596
2021-02-05,2021Q1,INVERCAP,615083.9004018912,113548.79677999998,149.253056,501535.10362189123,3360.3003989539166,2656.0,False,0.2095944752954736
2021-02-08,2021Q1,INVERCAP,632037.844641504,113548.79677999998,149.253056,518489.047861504,3473.892339340134,2656.0,False,0.23543974868705708
2021-02-09,2021Q1,INVERCAP,638403.6934364545,113548.79677999998,149.253056,524854.8966564545,3516.5437192552668,2656.0,False,0.24471293063790278
2021-02-10,2021Q1,INVERCAP,639832.76153328,113548.79677999998,149.253056,526283.96475328,3526.1185188280506,2656.0,False,0.24676383229377252
2021-02-11,2021Q1,INVERCAP,635285.7266797441,113548.79677999998,149.253056,521736.9298997441,3495.6532474601,2656.0,False,0.24019923831695322
2021-02-12,2021Q1,INVERCAP,623528.3937013153,113548.79677999998,149.253056,509979.5969213153,3416.8787600658266,2656.0,False,0.2226823991996626
2021-02-15,2021Q1,INVERCAP,615993.3073725984,113548.79677999998,149.253056,502444.51059259847,3366.393453227507,2793.6,False,0.1701504774132523
2021-02-16,2021Q1,INVERCAP,616707.8414210113,113548.79677999998,149.253056,503159.0446410113,3371.1808530138997,2776.8,False,0.1763123602468588
2021-02-17,2021Q1,INVERCAP,628776.9710751111,113548.79677999998,149.253056,515228.1742951111,3452.0443875876895,2798.0,False,0.18946581044536914
2021-02-18,2021Q1,INVERCAP,632037.844641504,113548.79677999998,149.253056,518489.047861504,3473.892339340134,2798.0,False,0.19456340994969346
