Description,Value,Curncy,Date,ID
Total de activos corrientes distintos de los activo o grupos de activos para su disposición clasificados como mantenidos para la venta o como mantenidos para distribuir a los propietarios,496.492,USD,2017-12-31,ORO_BLANCO
Activos no corrientes o grupos de activos para su disposición clasificados como mantenidos para la venta o como mantenidos para distribuir a los propietarios,-,USD,2017-12-31,ORO_BLANCO
Activos corrientes totales,496.492,USD,2017-12-31,ORO_BLANCO
Otros activos financieros no corrientes,-,USD,2017-12-31,ORO_BLANCO
Otros activos no financieros no corrientes,-,USD,2017-12-31,ORO_BLANCO
Cuentas por cobrar no corrientes,-,USD,2017-12-31,ORO_BLANCO
"Cuentas por cobrar a entidades relacionadas, no corrientes",-,USD,2017-12-31,ORO_BLANCO
"Inventarios, no corrientes",-,USD,2017-12-31,ORO_BLANCO
Inversiones contabilizadas utilizando el método de la participación,984.194,USD,2017-12-31,ORO_BLANCO
Activos intangibles distintos de la plusvalía,-,USD,2017-12-31,ORO_BLANCO
Plusvalía,486.669,USD,2017-12-31,ORO_BLANCO
"Propiedades, planta y equipo",-,USD,2017-12-31,ORO_BLANCO
Activos biológicos no corrientes,-,USD,2017-12-31,ORO_BLANCO
Propiedad de inversión,-,USD,2017-12-31,ORO_BLANCO
"Activos por impuestos corrientes, no corrientes",-,USD,2017-12-31,ORO_BLANCO
Activos por impuestos diferidos,942,USD,2017-12-31,ORO_BLANCO
Total de activos no corrientes,1.471.805,USD,2017-12-31,ORO_BLANCO
Total de activos,1.968.297,USD,2017-12-31,ORO_BLANCO
Otros pasivos financieros corrientes,58.727,USD,2017-12-31,ORO_BLANCO
Cuentas por pagar comerciales y otras cuentas por pagar,203,USD,2017-12-31,ORO_BLANCO
"Cuentas por pagar a entidades relacionadas, corrientes",-,USD,2017-12-31,ORO_BLANCO
Otras provisiones a corto plazo,-,USD,2017-12-31,ORO_BLANCO
"Pasivos por impuestos corrientes, corrientes",766,USD,2017-12-31,ORO_BLANCO
Provisiones corrientes por beneficios a los empleados,-,USD,2017-12-31,ORO_BLANCO
Otros pasivos no financieros corrientes,5.355,USD,2017-12-31,ORO_BLANCO
Total de pasivos corrientes distintos de los pasivos incluidos en grupos de activos para su disposición clasificados como mantenidos para la venta,65.051,USD,2017-12-31,ORO_BLANCO
Pasivos incluidos en grupos de activos para su disposición clasificados como mantenidos para la venta,-,USD,2017-12-31,ORO_BLANCO
Pasivos corrientes totales,65.051,USD,2017-12-31,ORO_BLANCO
Otros pasivos financieros no corrientes,519.826,USD,2017-12-31,ORO_BLANCO
Cuentas por pagar no corrientes,-,USD,2017-12-31,ORO_BLANCO
"Cuentas por pagar a entidades relacionadas, no corrientes",-,USD,2017-12-31,ORO_BLANCO
Otras provisiones a largo plazo,-,USD,2017-12-31,ORO_BLANCO
Pasivo por impuestos diferidos,1.555,USD,2017-12-31,ORO_BLANCO
"Pasivos por impuestos corrientes, no corrientes",-,USD,2017-12-31,ORO_BLANCO
Provisiones no corrientes por beneficios a los empleados,104,USD,2017-12-31,ORO_BLANCO
Otros pasivos no financieros no corrientes,-,USD,2017-12-31,ORO_BLANCO
Total de pasivos no corrientes,521.485,USD,2017-12-31,ORO_BLANCO
Total de pasivos,586.536,USD,2017-12-31,ORO_BLANCO
Capital emitido,775.504,USD,2017-12-31,ORO_BLANCO
Ganancias (pérdidas) acumuladas,496.393,USD,2017-12-31,ORO_BLANCO
Prima de emisión,83.212,USD,2017-12-31,ORO_BLANCO
Acciones propias en cartera,-,USD,2017-12-31,ORO_BLANCO
Otras participaciones en el patrimonio,851,USD,2017-12-31,ORO_BLANCO
Otras reservas,-96.412,USD,2017-12-31,ORO_BLANCO
Patrimonio atribuible a los propietarios de la controladora,1.259.548,USD,2017-12-31,ORO_BLANCO
Participaciones no controladoras,122.213,USD,2017-12-31,ORO_BLANCO
Patrimonio total,1.381.761,USD,2017-12-31,ORO_BLANCO
Total de patrimonio y pasivos,1.968.297,USD,2017-12-31,ORO_BLANCO
Efectivo y equivalentes al efectivo,7.960,USD,2018-03-31,ORO_BLANCO
Otros activos financieros corrientes,54.986,USD,2018-03-31,ORO_BLANCO
Otros activos no financieros corrientes,-,USD,2018-03-31,ORO_BLANCO
Deudores comerciales y otras cuentas por cobrar corrientes,-,USD,2018-03-31,ORO_BLANCO
"Cuentas por cobrar a entidades relacionadas, corrientes",391.285,USD,2018-03-31,ORO_BLANCO
Inventarios corrientes,-,USD,2018-03-31,ORO_BLANCO
Activos biológicos corrientes,-,USD,2018-03-31,ORO_BLANCO
"Activos por impuestos corrientes, corrientes",28.332,USD,2018-03-31,ORO_BLANCO
Total de activos corrientes distintos de los activo o grupos de activos para su disposición clasificados como mantenidos para la venta o como mantenidos para distribuir a los propietarios,482.563,USD,2018-03-31,ORO_BLANCO
Activos no corrientes o grupos de activos para su disposición clasificados como mantenidos para la venta o como mantenidos para distribuir a los propietarios,-,USD,2018-03-31,ORO_BLANCO
Activos corrientes totales,482.563,USD,2018-03-31,ORO_BLANCO
Otros activos financieros no corrientes,-,USD,2018-03-31,ORO_BLANCO
Otros activos no financieros no corrientes,-,USD,2018-03-31,ORO_BLANCO
Cuentas por cobrar no corrientes,-,USD,2018-03-31,ORO_BLANCO
"Cuentas por cobrar a entidades relacionadas, no corrientes",-,USD,2018-03-31,ORO_BLANCO
"Inventarios, no corrientes",-,USD,2018-03-31,ORO_BLANCO
Inversiones contabilizadas utilizando el método de la participación,1.038.122,USD,2018-03-31,ORO_BLANCO
Activos intangibles distintos de la plusvalía,-,USD,2018-03-31,ORO_BLANCO
